Affiliated entity,Affiliated entity ID,Number of facilities,Number of states and territories with operations,Number of Special Focus Facilities (SFF),Number of SFF candidates,Number of facilities with an abuse icon,Percentage of facilities with an abuse icon,Percent of facilities classified as for-profit,Percent of facilities classified as non-profit,Percent of facilities classified as government-owned,Average overall 5-star rating,Average health inspection rating,Average staffing rating,Average quality rating,Average total nurse hours per resident day,Average total weekend nurse hours per resident day,Average total Registered Nurse hours per resident day,Average total nursing staff turnover percentage,Average Registered Nurse turnover percentage,Average number of administrators who have left the nursing home,Total number of fines,Average number of fines,Total amount of fines in dollars,Average amount of fines in dollars,Total number of payment denials,Average number of payment denials,Average percentage of short-stay residents who were re-hospitalized after a nursing home admission,Average percentage of short-stay residents who have had an outpatient emergency department visit,Average percentage of short-stay residents who newly received an antipsychotic medication,Average percentage of short-stay residents with pressure ulcers or pressure injuries that are new or worsened,Average percentage of short-stay residents who made improvements in function,Average percentage of short-stay residents who were assessed and appropriately given the seasonal influenza vaccine,Average percentage of short-stay residents who were assessed and appropriately given the  pneumococcal vaccine,"Average number of hospitalizations per 1,000 long-stay resident days","Average number of outpatient emergency department visits per 1,000 long-stay resident days",Average percentage of long-stay residents who received an antipsychotic medication,Average percentage of long-stay residents experiencing one or more falls with major injury,Average percentage of long-stay high-risk residents with pressure ulcers,Average percentage of long-stay residents with a urinary tract infection,Average percentage of long-stay residents who have or had a catheter inserted and left in their bladder,Average percentage of long-stay residents whose ability to move independently worsened,Average percentage of long-stay residents whose need for help with activities of daily living has increased,Average percentage of long-stay residents who were assessed and appropriately given the seasonal influenza vaccine,Average percentage of long-stay residents who were assessed and appropriately given the  pneumococcal vaccine,Average percentage of long-stay residents who were physically restrained,Average percentage of long-stay low-risk residents who lose control of their bowels or bladder,Average percentage of long-stay residents who lose too much weight,Average percentage of long-stay residents who have symptoms of depression,Average percentage of long-stay residents who used antianxiety or hypnotic medication,Average rate of potentially preventable hospital readmissions 30 days after discharge from a SNF,Average percentage of current residents up to date with COVID-19 vaccines,Average percentage of healthcare personnel up to date with COVID-19 vaccines
National,,14819,53,86,441,1354,9.1,72.6,21,6.4,2.9,2.8,2.7,3.5,3.8,3.3,0.7,49,45.7,0.7,27977,1.9,558552216.3,37676.37,3206,0.2,21.4,11.6,1.6,2.5,76.8,77,80.7,1.63,1.64,14.7,3.4,7.8,2.1,1.2,15.4,14.1,94.9,92.6,0.1,48.6,5.8,9,19.7,10.6,31.3,10
A&M HEALTHCARE INVESTMENTS,641,2,2,0,0,0,0,50,50,0,2,2.5,1.5,2.5,3.3,2.9,0.5,48.8,60,1,4,2,267685.97,133842.99,3,1.5,25.4,14.7,3.1,5.2,88.6,87.9,95.4,1.56,1.93,15.3,3.9,10.2,0,2,14.7,15.4,96.8,99.4,0,40.1,12.7,3.1,41.7,10.3,21.8,0
"ABBY GL, LLC",1,6,1,0,0,4,66.7,100,0,0,2.2,2.2,2.8,4.2,4.1,3.8,0.4,40.6,47.7,1,4,0.7,145238.75,24206.46,3,0.5,24.8,12.2,1.7,0.6,86.7,99.6,99.4,2.26,1.86,10.2,1.2,5.7,0.8,0.8,7.1,4,99.8,100,0.4,21,2.6,2.9,19.4,10.6,27.7,6.7
ABCM CORPORATION,2,29,1,0,0,0,0,100,0,0,4.2,4.1,3.7,3.2,3.8,3.2,0.6,35.4,38,0.7,11,0.4,139634.45,4814.98,3,0.1,15.7,11.5,3.5,1.9,84.7,73.2,89.1,1.19,1.88,22.3,3.7,5.4,4.3,2.6,19.3,15.5,96.9,97.5,0,48.1,4.1,2.7,19,10.1,29.5,11.4
ABLEHEARTS,3,5,2,0,0,1,20,20,80,0,2.2,1.8,1.8,4.8,3.6,3.2,0.7,58.2,65.4,1.2,15,3,704445.85,140889.17,5,1,19.2,10.4,2.1,0.6,83.6,84.5,95.2,1.59,1.31,10.8,2.3,8.2,0.7,0.6,11.8,8.2,95.4,99.1,0,55.5,2.6,2.8,14.7,11.3,33.1,7.3
ABRAHAM BAK & MENACHEM GASTWIRTH,4,15,1,0,0,3,20,100,0,0,3.1,2.5,2.5,4.4,4.2,3.9,0.4,43.4,33.9,0.8,16,1.1,202953.79,13530.25,1,0.1,22.1,8,2.8,0.9,89.6,98.7,97.7,2.37,1.16,13.4,1.1,8.7,1.2,0.7,6.4,8,99.5,99.5,0,28,4.8,11.7,14.2,11.1,36.3,15.8
ABRAHAM KRAUS,615,11,3,0,0,0,0,100,0,0,2.5,2.5,2.5,3.4,3.4,3,0.5,47.3,43.1,0.7,18,1.6,232049.7,21095.43,1,0.1,21.4,7.4,1.8,2.1,74.1,78,82.6,1.49,1.17,15.1,1.3,8.4,0.8,0.6,17,15.5,97.8,95.9,0,45.1,6.1,6.8,20.7,11.3,25.9,9.4
ABRAHAM SMILOW,662,9,2,0,0,0,0,88.9,11.1,0,2.2,1.9,2.3,3.9,3.2,3,0.6,53.6,51.7,0.9,12,1.3,89863.61,9984.85,1,0.1,17.8,7.8,1,2.2,80.7,55.6,54.8,1.07,1.09,19.1,3.9,8.3,1.4,1.6,16.5,14.4,90.4,82.1,0,59.6,6.8,3.6,18.8,10.3,32.8,16.1
ABRI HEALTH CARE,5,5,1,0,0,0,0,100,0,0,1.6,2.2,1.4,3.2,3.6,3.2,0.3,54.4,78.1,1.4,11,2.2,180942.53,36188.51,1,0.2,27,14.4,2,2.5,62.3,71.5,77.5,1.75,2.48,7.3,3,7,0.5,1.1,12.6,12.1,96.3,94.4,0,69.5,6.4,8.4,21.6,10.9,4.8,0.4
ABSOLUT CARE,6,6,1,0,0,0,0,100,0,0,3.3,3.3,2.7,4.3,3.5,2.9,0.5,56.7,43.4,1,3,0.5,56517.5,9419.58,0,0,21,15.6,0.5,3.6,86,69.1,56.9,1.03,0.97,14.9,3.3,7.5,1.1,0.5,7.4,11.6,94.7,85.7,0,54.2,6.2,1.7,15,10.3,57.2,7.1
